;ID;Ort;f1;f2;f3_1;f3_2;f3_3;f3_4;f3_5;f3_6;f3_7;f3_8;f3_9;f3_10;f3_11;f3_txt_val;f3_txt;f4_1;f4_2;f4_3;f4_4;f4_5;f4_6;f4_7;f4_8;f4_9;f4_10;f4_11;f4_12;f4_13;f4_14;f4_txt_val;f4_txt;f5_1;f5_2;f5_3;f5_4;f5_5;f5_6;f5_7;f5_8;f5_9;f5_10;f5_11;f5_txt_val;f5_txt;f6_1;f6_2;f6_3;f6_4;f6_5;f6_6;f6_7;f6_8;f6_9;f6_txt;f7_txt;f8;f9;f10_1;f10_2;f11_1;f11_2;f11_3;f11_4;f11_5;f11_6;f11_7;f11_8;f11_9;f11_10;f11_txt;f12_1;f12_2;f12_3;f12_4;f12_5;f12_6;f12_7;f12_8;f12_9;f13_1;f13_2;f13_3;f14_txt;f15_1;f15_2;f15_3;f15_4;f15_5;f15_6;f15_7;f15_8;f15_9;f15_10;f15_11;f15_12;f15_13;f15_14;f15_15;f15_16;f15_txt_val;f15_txt;f16_1;f16_2;f16_3;f16_4;f16_5;f16_6;f16_7;f16_8;f16_9;f17;f17_Comment;f18_1;f18_2;f18_3;f18_4;f18_5;f18_6;f18_7;f18_8;f18_9;f19_1;f19_2;f19_3;f19_4;f19_5;f19_6;f19_7;f19_8;f19_9;f19_10;f20;f21;f22;f23_1;f23_2;f23_3;f23_4;f24;f25_1;f25_2;f26;catalogue;internet;other;age;age_category;dif_parent_first_child;dif_parent_second_child;dif_parent_third_child;dif_parent_fourth_child;income_class
0;1;1;2;3;3;2;1;1;1;1;2;2;2;3;2;0;nicht ausgefuellt;1;1;3;3;3;6;3;3;1;3;1;1;1;1;0;nicht ausgefuellt;1;1;1;1;1;1;1;1;1;1;4;0;nicht ausgefuellt;1;2;2;1;8;8;8;8;2;nicht ausgefuellt;frisch gepresster Orangensaft, Biomilch;2;1;2;1;1;0;0;0;0;0;0;0;0;0;Reisebüro;0;0;0;0;1;1;0;1;0;8;5;6;Keine Frage des Vertrauens, kaufe Bionahrung nach Verfügbarkeit;2;2;1;1;2;3;2;2;1;1;3;2;1;1;1;2;0;nicht ausgefuellt;1;2;1;2;2;2;6;5;5;5.0;nicht ausgefuellt;5;1;7;7;1;7;2;2;7;2;3;1;6;2;2;2;1;2;5;3;2;1969;7.0;2.0;0.0;0;nicht ausgefuellt;D;69226;6;1;0;0;49;2;42.0;47.0;0.0;0.0;3
1;2;1;1;2;3;2;2;2;1;1;2;2;2;2;1;0;nicht ausgefuellt;3;4;3;5;5;2;2;1;2;3;2;2;3;2;0;nicht ausgefuellt;1;2;3;4;4;1;3;1;2;3;2;0;nicht ausgefuellt;1;2;2;2;3;1;3;3;1;nicht ausgefuellt;nicht ausgefuellt;4;2;3;3;0;0;0;0;0;0;0;0;1;0;nicht ausgefuellt;0;1;0;0;1;0;0;1;0;8;2;5;nicht ausgefuellt;7;2;1;1;4;4;4;3;2;2;3;6;5;1;2;5;0;nicht ausgefuellt;3;2;1;3;2;5;5;5;6;0.0;nicht ausgefuellt;2;5;1;2;3;4;3;4;6;3;3;2;3;2;1;1;3;1;7;4;2;1980;0.0;0.0;0.0;0;"Reisen; Wellness; Lesen";D;96275;1;0;1;0;38;2;;0.0;0.0;0.0;1
2;3;1;6;3;1;1;1;1;2;2;1;1;1;1;1;0;nicht ausgefuellt;2;4;6;6;6;6;1;1;1;6;3;3;3;1;0;nicht ausgefuellt;1;1;1;2;2;1;1;3;1;1;0;0;nicht ausgefuellt;1;1;1;1;1;1;1;3;1;nicht ausgefuellt;nicht ausgefuellt;2;2;3;3;1;0;1;0;0;0;0;0;0;0;nicht ausgefuellt;1;0;0;1;1;0;0;1;0;0;0;0;nicht ausgefuellt;1;1;1;1;1;5;5;5;1;1;1;2;1;3;1;1;0;nicht ausgefuellt;1;1;1;1;1;1;5;6;7;-99.0;nicht ausgefuellt;1;5;7;1;1;5;5;3;2;1;4;3;4;2;2;4;2;2;6;4;2;0;20.0;12.0;0.0;0;"Sport; Lesen";D;69126;6;1;0;0;0;0;;0.0;0.0;0.0;3
3;4;1;9;2;2;2;1;8;2;2;2;2;4;4;2;0;nicht ausgefuellt;3;3;7;3;7;7;4;1;1;5;1;5;5;4;0;nicht ausgefuellt;1;1;4;4;4;1;4;2;1;4;4;0;nicht ausgefuellt;2;2;3;8;8;2;8;8;2;nicht ausgefuellt;nicht ausgefuellt;5;4;7;3;1;0;0;0;1;0;0;0;0;0;nicht ausgefuellt;0;0;0;0;1;1;0;0;0;0;0;0;nicht ausgefuellt;4;4;2;4;4;7;7;7;7;2;7;5;7;2;2;7;0;nicht ausgefuellt;7;2;2;7;3;7;7;7;7;0.0;nicht ausgefuellt;8;7;3;2;2;3;4;6;4;1;6;3;7;3;5;3;5;4;7;4;1;1958;21.0;19.0;17.0;0;"Tennis; Tauchen; Gartenrbeit; Radfahren";D;23795;6;1;0;0;60;3;39.0;41.0;43.0;0.0;3
4;5;1;9;2;2;1;1;2;2;2;2;2;2;2;2;0;nicht ausgefuellt;2;2;5;3;5;5;2;2;2;2;1;2;6;1;0;nicht ausgefuellt;1;1;2;3;3;2;3;5;1;2;3;0;nicht ausgefuellt;2;2;2;3;3;2;3;5;2;nicht ausgefuellt;nicht ausgefuellt;4;3;4;4;1;0;0;0;0;0;0;0;0;0;nicht ausgefuellt;0;0;0;0;1;1;0;1;0;5;8;6;Bekanntheit;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;nicht ausgefuellt;4;4;4;4;4;4;4;4;4;-99.0;nicht ausgefuellt;2;6;4;2;3;3;5;5;3;3;7;2;5;3;4;3;2;2;7;3;2;0;21.0;19.0;17.0;0;Laufen;D;23795;7;1;0;0;0;0;;0.0;0.0;0.0;0
5;6;1;3;2;4;2;3;8;2;2;2;2;3;4;2;0;nicht ausgefuellt;3;3;5;4;6;3;3;2;2;6;1;2;3;4;0;nicht ausgefuellt;1;1;2;3;3;1;2;1;1;3;3;0;nicht ausgefuellt;2;2;3;3;3;2;8;8;2;nicht ausgefuellt;Gestern und heute kein schönes Steak gesehen;3;3;4;3;1;0;0;0;0;0;0;1;0;0;zum 2. Mal hier;0;0;0;0;1;0;0;1;0;8;5;6;Bekanntheitsgrad;3;3;2;2;3;4;3;3;3;2;2;3;2;2;2;4;0;nicht ausgefuellt;2;2;2;2;3;3;5;2;4;0.0;nicht ausgefuellt;6;4;6;2;4;3;4;5;5;3;3;2;2;4;5;5;4;4;7;4;1;1960;19.0;17.0;0.0;0;"Joggen; Schach; Tennis";D;95400;7;1;1;0;58;3;39.0;41.0;0.0;0.0;0
6;7;1;2;1;2;2;2;2;2;2;2;2;1;2;2;0;nicht ausgefuellt;2;2;2;8;8;3;2;1;2;3;2;2;2;2;0;nicht ausgefuellt;1;1;1;1;1;2;1;1;2;1;2;0;nicht ausgefuellt;1;1;1;8;8;2;8;8;2;nicht ausgefuellt;nicht ausgefuellt;2;1;1;1;1;0;0;0;0;0;0;0;0;0;Reisebüro;0;0;0;0;1;1;0;1;0;8;6;5;Nr. 8 ist als allg. Gütesiegel von der Bundesregierung eingeführt!?;3;3;1;1;3;7;7;3;7;1;3;3;3;1;1;3;0;nicht ausgefuellt;1;1;1;1;1;1;4;1;1;5.0;nicht ausgefuellt;2;2;7;4;2;7;1;2;7;2;3;1;3;3;2;3;1;3;6;4;1;1963;0.0;0.0;0.0;0;"Radsport; Wandern; Fotografieren";D;65428;3;1;0;0;55;3;;0.0;0.0;0.0;2
7;8;1;7;2;1;1;1;8;1;1;2;1;0;8;1;0;nicht ausgefuellt;2;2;0;3;4;4;1;2;1;5;1;2;4;2;0;nicht ausgefuellt;1;1;2;2;2;1;1;3;1;4;4;0;nicht ausgefuellt;1;2;2;2;8;1;8;8;1;nicht ausgefuellt;nicht ausgefuellt;4;4;4;3;1;0;0;0;0;0;0;1;0;0;nicht ausgefuellt;0;0;0;0;1;1;0;1;0;8;5;6;nicht ausgefuellt;5;5;1;3;5;5;3;4;1;1;6;4;1;1;2;6;0;nicht ausgefuellt;4;2;2;7;2;2;6;6;6;0.0;nicht ausgefuellt;6;7;1;1;1;6;6;8;1;1;5;4;4;3;5;1;2;2;6;4;2;1947;32.0;29.0;0.0;0;"Sport; Reisen";D;86316;6;1;1;0;71;3;39.0;42.0;0.0;0.0;3
8;9;1;2;0;2;1;1;1;3;3;4;2;2;0;2;0;nicht ausgefuellt;3;4;5;3;3;7;2;2;2;3;2;2;2;2;0;nicht ausgefuellt;1;1;1;1;1;1;1;1;1;1;1;0;nicht ausgefuellt;2;2;2;1;2;1;2;8;2;nicht ausgefuellt;nicht ausgefuellt;2;2;2;1;0;0;0;0;0;0;0;0;0;1;nicht ausgefuellt;0;0;0;0;1;1;0;1;0;0;0;0;nicht ausgefuellt;2;2;2;2;2;3;3;3;3;2;2;2;8;8;2;2;0;nicht ausgefuellt;2;2;1;2;1;1;3;2;2;-99.0;nicht ausgefuellt;3;4;4;3;3;4;2;4;3;2;4;4;4;4;4;4;3;3;6;1;2;0;40.0;0.0;0.0;0;viele;D;85540;7;0;0;1;0;0;;0.0;0.0;0.0;0
9;10;1;6;3;2;1;1;1;3;3;3;1;1;2;2;0;nicht ausgefuellt;2;3;6;6;6;6;2;2;2;2;2;2;2;2;0;nicht ausgefuellt;1;1;1;1;1;1;2;1;2;2;2;0;nicht ausgefuellt;2;2;2;8;8;8;8;8;8;nicht beurteilbar weil Einblick fehlt;nicht ausgefuellt;2;2;2;1;1;0;0;0;0;0;0;0;0;0;nicht ausgefuellt;0;0;0;0;1;1;1;1;0;0;0;0;alle gleich;3;3;2;1;2;5;5;5;5;2;2;3;2;1;4;4;0;nicht ausgefuellt;2;2;2;3;2;2;3;3;3;10.0;nicht ausgefuellt;2;2;7;4;3;6;4;3;6;3;2;2;6;4;4;2;3;3;7;4;2;1968;6.0;1.5;0.0;0;nicht ausgefuellt;D;85440;7;1;0;0;50;3;44.0;48.5;0.0;0.0;0
